SELECT
	*
FROM
	time_card
;
〇変更前
+---------+------------+-----------+
| s_id    | r_date     | work_time |
+---------+------------+-----------+
| DA00001 | 2012-11-01 |         9 |
| DA00001 | 2012-11-02 |         8 |
| DA00001 | 2012-11-03 |        10 |
| DA00001 | 2012-11-04 |         9 |
| DA00001 | 2012-11-07 |         8 |
| DA00001 | 2012-11-08 |         8 |
| DA00001 | 2012-11-09 |         8 |
| DA00001 | 2012-11-10 |         8 |
| DA00001 | 2012-11-11 |         9 |
| DA00001 | 2012-11-14 |         8 |
| DA00001 | 2012-11-15 |        10 |
| DA00001 | 2012-11-16 |         8 |
| DA00001 | 2012-11-17 |         8 |
| DA00001 | 2012-11-18 |         8 |
| DA00001 | 2012-11-21 |         8 |
| DA00001 | 2012-11-22 |        10 |
| DA00001 | 2012-11-23 |         8 |
| DA00001 | 2012-11-24 |         9 |
| DA00001 | 2012-11-25 |         8 |
| DA00001 | 2012-11-28 |         8 |
| DA00001 | 2012-11-29 |         9 |
| DA00001 | 2012-11-30 |         8 |
| DA00001 | 2012-12-01 |         8 |
| DA00001 | 2012-12-02 |        10 |
| DA00001 | 2012-12-05 |         8 |
| DA00001 | 2012-12-06 |         9 |
| DA00001 | 2012-12-07 |         8 |
| DA00001 | 2012-12-08 |         8 |
| DA00001 | 2012-12-09 |         9 |
| DA00001 | 2012-12-12 |         8 |
| DA00001 | 2012-12-13 |        10 |
| DA00001 | 2012-12-14 |         9 |
| DA00001 | 2012-12-15 |         8 |
| DA00001 | 2012-12-16 |         8 |
| DA00001 | 2012-12-19 |         8 |
| DA00001 | 2012-12-20 |         8 |
| DA00001 | 2012-12-21 |         9 |
| DA00001 | 2012-12-22 |         8 |
| DA00001 | 2012-12-23 |        10 |
| DA00001 | 2012-12-26 |         8 |
| DA00001 | 2012-12-27 |         8 |
| DA00001 | 2012-12-28 |         8 |
| FU00001 | 2012-11-01 |         8 |
| FU00001 | 2012-11-02 |         8 |
| FU00001 | 2012-11-03 |         9 |
| FU00001 | 2012-11-04 |         8 |
| FU00001 | 2012-11-07 |        10 |
| FU00001 | 2012-11-08 |         8 |
| FU00001 | 2012-11-09 |         8 |
| FU00001 | 2012-11-10 |         8 |
| FU00001 | 2012-11-11 |         8 |
| FU00001 | 2012-11-14 |        10 |
| FU00001 | 2012-11-15 |         8 |
| FU00001 | 2012-11-16 |         9 |
| FU00001 | 2012-11-17 |         8 |
| FU00001 | 2012-11-18 |         8 |
| FU00001 | 2012-11-21 |         9 |
| FU00001 | 2012-11-22 |         8 |
| FU00001 | 2012-11-23 |        10 |
| FU00001 | 2012-11-24 |         9 |
| FU00001 | 2012-11-25 |         8 |
| FU00001 | 2012-11-28 |         8 |
| FU00001 | 2012-11-29 |         8 |
| FU00001 | 2012-11-30 |         8 |
| FU00001 | 2012-12-01 |         8 |
| FU00001 | 2012-12-02 |        10 |
| FU00001 | 2012-12-05 |         8 |
| FU00001 | 2012-12-06 |         9 |
| FU00001 | 2012-12-07 |         8 |
| FU00001 | 2012-12-08 |         8 |
| FU00001 | 2012-12-09 |         9 |
| FU00001 | 2012-12-12 |         8 |
| FU00001 | 2012-12-13 |        10 |
| FU00001 | 2012-12-14 |         9 |
| FU00001 | 2012-12-15 |         8 |
| FU00001 | 2012-12-16 |         8 |
| FU00001 | 2012-12-19 |         8 |
| FU00001 | 2012-12-20 |         8 |
| FU00001 | 2012-12-21 |         9 |
| FU00001 | 2012-12-22 |         8 |
| FU00001 | 2012-12-23 |        10 |
| FU00001 | 2012-12-26 |         8 |
| FU00001 | 2012-12-27 |         8 |
| FU00001 | 2012-12-28 |         8 |
| FU00002 | 2012-11-01 |         9 |
| FU00002 | 2012-11-02 |         8 |
| FU00002 | 2012-11-03 |        10 |
| FU00002 | 2012-11-04 |         8 |
| FU00002 | 2012-11-07 |         8 |
| FU00002 | 2012-11-08 |         8 |
| FU00002 | 2012-11-09 |         8 |
| FU00002 | 2012-11-10 |        10 |
| FU00002 | 2012-11-11 |         8 |
| FU00002 | 2012-11-14 |         9 |
| FU00002 | 2012-11-15 |         8 |
| FU00002 | 2012-11-16 |         8 |
| FU00002 | 2012-11-17 |         9 |
| FU00002 | 2012-11-18 |         8 |
| FU00002 | 2012-11-21 |        10 |
| FU00002 | 2012-11-22 |         9 |
| FU00002 | 2012-11-23 |         8 |
| FU00002 | 2012-11-24 |         8 |
| FU00002 | 2012-11-25 |         8 |
| FU00002 | 2012-11-28 |         8 |
| FU00002 | 2012-11-29 |         9 |
| FU00002 | 2012-11-30 |         8 |
| FU00002 | 2012-12-01 |         8 |
| FU00002 | 2012-12-02 |        10 |
| FU00002 | 2012-12-05 |         8 |
| FU00002 | 2012-12-06 |         9 |
| FU00002 | 2012-12-07 |         8 |
| FU00002 | 2012-12-08 |         8 |
| FU00002 | 2012-12-09 |         9 |
| FU00002 | 2012-12-12 |         8 |
| FU00002 | 2012-12-13 |        10 |
| FU00002 | 2012-12-14 |         9 |
| FU00002 | 2012-12-15 |         8 |
| FU00002 | 2012-12-16 |         8 |
| FU00002 | 2012-12-19 |         8 |
| FU00002 | 2012-12-20 |         8 |
| FU00002 | 2012-12-21 |         9 |
| FU00002 | 2012-12-22 |         8 |
| FU00002 | 2012-12-23 |        10 |
| FU00002 | 2012-12-26 |         8 |
| FU00002 | 2012-12-27 |         8 |
| FU00002 | 2012-12-28 |         8 |
| HA0002  | 2012-11-01 |        10 |
| HA0002  | 2012-11-02 |         8 |
| HA0002  | 2012-11-03 |         8 |
| HA0002  | 2012-11-04 |         8 |
| HA0002  | 2012-11-07 |         8 |
| HA0002  | 2012-11-08 |        10 |
| HA0002  | 2012-11-09 |         8 |
| HA0002  | 2012-11-10 |         9 |
| HA0002  | 2012-11-11 |         8 |
| HA0002  | 2012-11-14 |         8 |
| HA0002  | 2012-11-15 |         9 |
| HA0002  | 2012-11-16 |         8 |
| HA0002  | 2012-11-17 |        10 |
| HA0002  | 2012-11-18 |         9 |
| HA0002  | 2012-11-21 |         8 |
| HA0002  | 2012-11-22 |         8 |
| HA0002  | 2012-11-23 |         8 |
| HA0002  | 2012-11-24 |         8 |
| HA0002  | 2012-11-25 |         9 |
| HA0002  | 2012-11-28 |         8 |
| HA0002  | 2012-11-29 |        10 |
| HA0002  | 2012-11-30 |         8 |
| HA0002  | 2012-12-01 |         8 |
| HA0002  | 2012-12-02 |        10 |
| HA0002  | 2012-12-05 |         8 |
| HA0002  | 2012-12-06 |         9 |
| HA0002  | 2012-12-07 |         8 |
| HA0002  | 2012-12-08 |         8 |
| HA0002  | 2012-12-09 |         9 |
| HA0002  | 2012-12-12 |         8 |
| HA0002  | 2012-12-13 |        10 |
| HA0002  | 2012-12-14 |         9 |
| HA0002  | 2012-12-15 |         8 |
| HA0002  | 2012-12-16 |         8 |
| HA0002  | 2012-12-19 |         8 |
