SELECT
	*
FROM
	access_log
;

〇変更前
+--------+---------+---------------------------+-----------------+---------------------+
| log_id | page_id | referer                   | ip_address      | access_date         |
+--------+---------+---------------------------+-----------------+---------------------+
|      1 | A0001   | http://wings.msn.to/hamu/ | 192.168.0.253   | 2012-02-01 10:11:12 |
|      2 | A0001   | http://wings.msn.to/hamu/ | 192.168.1.223   | 2012-02-12 07:15:14 |
|      3 | B0001   | http://wings.msn.to/hamu/ | 192.168.21.18   | 2012-02-19 20:11:12 |
|      4 | A0001   | http://wings.msn.to/hamu/ | 192.168.115.25  | 2012-03-01 21:14:18 |
|      5 | A0001   | http://wings.msn.to/hamu/ | 192.168.29.208  | 2012-03-11 21:18:17 |
|      6 | A0001   | http://wings.msn.to/hamu/ | 192.168.3.254   | 2012-03-19 20:10:14 |
|      7 | A0001   | http://wings.msn.to/neko/ | 192.168.42.217  | 2012-03-19 20:11:12 |
|      8 | B0001   | http://wings.msn.to/inu/  | 192.168.81.112  | 2012-04-01 21:14:18 |
|      9 | B0001   | http://wings.msn.to/hamu/ | 192.168.165.27  | 2012-04-10 14:18:19 |
|     10 | B0002   | http://wings.msn.to/neko/ | 192.168.29.207  | 2012-04-11 21:18:17 |
|     11 | B0003   | http://wings.msn.to/neko/ | 192.168.4.257   | 2012-05-10 14:18:19 |
|     12 | A0001   | http://wings.msn.to/hamu/ | 192.168.142.207 | 2012-05-21 21:11:17 |
|     13 | A0001   | http://wings.msn.to/hamu/ | 192.168.41.102  | 2012-05-30 13:17:24 |
|     14 | D0001   | http://wings.msn.to/hamu/ | 192.168.195.123 | 2012-06-01 21:22:12 |
|     15 | D0001   | http://wings.msn.to/hamu/ | 192.168.209.247 | 2012-06-04 14:10:24 |
|     16 | B0004   | http://wings.msn.to/saru/ | 192.168.16.209  | 2012-06-21 21:11:17 |
|     17 | A0001   | http://wings.msn.to/hamu/ | 192.168.206.143 | 2012-06-30 01:11:14 |
|     18 | C0001   | http://wings.msn.to/inu/  | 192.168.211.110 | 2012-06-30 13:17:24 |
|     19 | A0001   | http://wings.msn.to/hamu/ | 192.168.165.20  | 2012-07-01 22:14:17 |
|     20 | A0001   | http://wings.msn.to/hamu/ | 192.168.219.48  | 2012-07-06 08:14:14 |
|     21 | A0001   | http://wings.msn.to/hamu/ | 192.168.31.204  | 2012-07-09 20:11:02 |
|     22 | A0001   | http://wings.msn.to/hamu/ | 192.168.32.237  | 2012-07-11 23:11:12 |
|     23 | A0001   | http://wings.msn.to/hamu/ | 192.168.64.92   | 2012-07-13 15:17:25 |
|     24 | D0001   | http://wings.msn.to/hamu/ | 192.168.15.87   | 2012-07-18 09:11:46 |
|     25 | D0001   | http://wings.msn.to/hamu/ | 192.168.69.177  | 2012-07-24 04:11:38 |
|     26 | C0002   | http://wings.msn.to/neko/ | 192.168.14.215  | 2012-07-30 01:11:14 |
|     27 | A0001   | http://wings.msn.to/hamu/ | 192.168.12.27   | 2012-08-01 21:28:39 |
|     28 | C0003   | http://wings.msn.to/saru/ | 192.168.31.12   | 2012-08-01 22:14:17 |
|     29 | A0001   | http://wings.msn.to/hamu/ | 192.168.15.126  | 2012-08-04 15:13:34 |
|     30 | A0001   | http://wings.msn.to/hamu/ | 192.168.29.217  | 2012-08-07 23:11:12 |
|     31 | B0001   | http://wings.msn.to/hamu/ | 192.168.1.253   | 2012-08-09 20:24:12 |
|     32 | A0001   | http://wings.msn.to/hamu/ | 192.168.2.223   | 2012-08-13 23:10:57 |
|     33 | A0001   | http://wings.msn.to/hamu/ | 192.168.22.18   | 2012-08-16 15:18:17 |
|     34 | C0004   | http://wings.msn.to/neko/ | 192.168.116.25  | 2012-08-18 09:11:46 |
|     35 | A0001   | http://wings.msn.to/hamu/ | 192.168.30.208  | 2012-08-21 20:17:15 |
|     36 | C0005   | http://wings.msn.to/tori/ | 192.168.4.254   | 2012-08-24 04:11:38 |
|     37 | A0001   | http://wings.msn.to/hamu/ | 192.168.43.217  | 2012-08-24 23:14:17 |
|     38 | A0001   | http://wings.msn.to/hamu/ | 192.168.82.112  | 2012-08-25 11:24:18 |
|     39 | A0001   | http://wings.msn.to/hamu/ | 192.168.166.27  | 2012-08-26 21:25:49 |
|     40 | A0001   | http://wings.msn.to/hamu/ | 192.168.30.207  | 2012-08-27 14:13:12 |
|     41 | A0001   | http://wings.msn.to/hamu/ | 192.168.152.200 | 2012-08-27 23:11:15 |
|     42 | D0004   | http://wings.msn.to/neko/ | 192.168.152.207 | 2012-08-27 23:11:15 |
|     43 | A0001   | http://wings.msn.to/hamu/ | 192.168.42.102  | 2012-08-29 07:17:19 |
|     44 | A0001   | http://wings.msn.to/hamu/ | 192.168.185.123 | 2012-08-30 23:17:47 |
|     45 | D0001   | http://wings.msn.to/neko/ | 192.168.210.247 | 2012-09-01 21:28:39 |
